"","ParasiteBinomialName","PropCommunityZoonotic","PropHostsZoonoticCarriers","EcoRealm","NumEcoregions","ZoonoticStatus","WebOfScienceHits","Phylum","Order","CloseContactTransmission","VectorTransmission","HostDietBreadth","HostDietInvertebrate","HostHabitatBreadth","HostGeographicRange","HostInterbirthInterval","HostTrophicLevel","MeanHumanPopDensity","MeanTemp","MeanPrecipitation","HostIslandEndemicity","HostPopDensity","HostEvolutionaryDistinctiveness","ParasiteCloseness","ParasiteBetweenness","HostProportionalGenerality","HostBetweenness","Intracellular","HasDomesticHost","NumOrganSystems","NumTransmissionModes"
"1","Babesia bicornis",0.096153846,0.333333333,"AT",3,0,9,"Apicomplexa","Achromatorida",NA,NA,2,0,1,6697308.45,1049.37,1,30.49,225.9,70.41,1,0.11,3.51324406371774,0.000516453113213652,0,0.0645134948003707,0.00122805424553488,1,1,1,NA
"2","Babesia bigemina",0.154929577,1,"AT",2,0,797,"Apicomplexa","Achromatorida",0,1,4.5,0,1,8712202.1395,334.58,1,31.125,174.55,80.64,1,9.31,2.32449738745514,0.000538130720178538,0,0.0479243104231325,0.00347896364919585,1,1,1,1
"3","Babesia bovis",0.123076923,1,NA,1,0,1253,"Apicomplexa","Achromatorida",0,1,4,0,1,14410477.61,304.16,1,34.11,127.64,80.45,1,17.32,NA,0.000530874617428785,0,0.0847891645947729,0.00694997549363207,1,1,1,1
"4","Babesia cellii",0.466666667,1,"IM",1,0,0,"Apicomplexa","Achromatorida",0,1,2,10,NA,46446.4766,547.5,1,335.39,258.11,141.67,2,30,2.2116833498539,0.00046960589983556,0,0.0156675630229472,0.00224342799192105,1,1,1,1
"5","Babesia cynicti",1,0,"AT",1,0,1,"Apicomplexa","Achromatorida",0,1,1,90,1,2252272.009,365,3,15.27,184.21,33.29,1,NA,3.11456004051963,0.000414341607267756,0,0.0101378348972011,0,1,1,1,1
"6","Babesia divergens",0.151315789,0.6,"PA",2,0,414,"Apicomplexa","Achromatorida",NA,NA,4,0,1,7599424.22506667,365,1,89.29,57.1166666666667,53.3966666666667,1,5.255,2.53690628907681,0.000569241260718103,4.78863157449941e-06,0.0970774493186529,0.0536138055209762,1,1,1,NA
"7","Babesia EU2",0.153846154,1,"PA",1,1,NA,"Apicomplexa","Achromatorida",NA,NA,5,0,1,7256885.952,365,1,101.77,73.59,55.04,1,7.61,2.8107399782047,0.000534049162381802,0,0.0893972713662279,0.00581748861891253,NA,NA,NA,NA
"8","Babesia lotori",0.217391304,0.1,"NT",2,0,3,"Apicomplexa","Achromatorida",0,1,6,19,2,11684182.92,365,2,38.77,111.84,63.25,1,3.29,2.37333404780104,0.000557903600171614,0,0.150224280749435,0.0466763360385458,1,1,1,1
"9","Babesia microti",0.277777778,1,"AT",1,0,189,"Apicomplexa","Achromatorida",0,1,2,10,NA,4289611.805,669.16,1,24.54,230.4,86.42,1,5.86,2.26473516247121,0.000504072387896886,0,0.0442378250059684,0.0060450766568442,1,1,1,1
"10","Babesia missirolii",0.235294118,1,"PA",1,0,1,"Apicomplexa","Achromatorida",0,1,1,20,1,9763858.967,365,3,NA,NA,NA,1,2.52,3.28760578632801,0.000504208439823444,0,0.0433162036516774,0.00011896374638878,1,1,1,1
"11","Babesia odocoilei",0.123076923,0.047619048,NA,10,0,59,"Apicomplexa","Achromatorida",0,1,4,0,1,14410477.61,304.16,1,34.11,127.64,80.45,1,17.32,NA,0.000530874617428785,0,0.0847891645947729,0.00694997549363207,1,1,1,1
"12","Babesia ovis",0.157142857,0.428571429,"PA",3,0,216,"Apicomplexa","Achromatorida",0,1,3,0,1,5198221.36536667,365,1,79.47,76.5633333333333,49.2633333333333,1,2.9,2.35378794350934,0.000564615495215135,5.1540348248844e-06,0.0749585368156686,0.0516749548916478,1,1,1,1
"13","Babesia pitheci",0.384615385,0.6,"AT",3,0,0,"Apicomplexa","Achromatorida",0,1,4,10,NA,1697864.478825,1073.1,2,33.035,231.3525,117.205,1,88.09,2.32217674874336,0.000502603027090061,4.09073311760457e-07,0.0158979683615199,0.00229517429921595,1,1,1,1
"14","Babesia propitheci",0,0,"AT",2,0,0,"Apicomplexa","Achromatorida",0,1,NA,0,NA,NA,365,NA,16.43,251.42,134.79,3,NA,NA,0.000332737661718349,0,0.00368648541716404,5.93262920548249e-06,1,1,1,1
"15","Babesia rossi",0.5,1,"AT",1,0,89,"Apicomplexa","Achromatorida",0,1,1,0,1,1272437.563,355.87,3,27.77,235.55,68.95,1,0.01,1.72613037649562,0.000457923574408458,0,0.00921621354291009,4.69406275732036e-05,1,1,1,1
"16","Balantidium aragaoi",0.117647059,1,"NT",1,0,0,"Ciliophora","Vestibuliferida",1,0,3,0,NA,3064124.147,337.62,1,12.01,229.01,116.64,1,80,2.20999553703414,0.000439601914965333,0,0.0193540484401112,4.17708689570914e-05,0,0,1,2
"17","Balantidium coli",0.255,0.25,"AT",22,1,169,"Ciliophora","Vestibuliferida",1,0,3.14285714285714,8.33333333333333,1.5,2287537.63481875,903.915714285714,1.64285714285714,55.3222222222222,228.356111111111,119.32,1.27777777777778,16.3726666666667,2.42551866431076,0.000600805307679527,0.00255959367205303,0.0248325753795078,0.00810677176573162,0,1,1,2
"18","Besnoitia tarandi",0.151515152,0.5,"PA",1,0,16,"Apicomplexa","Eucoccidiorida",0,1,3,0,NA,18168072.93,365,1,1.07,-90.47,29.21,1,2.55,2.5768435007199,0.000499310570467361,0,0.0368648541716404,2.62284659610805e-05,1,0,7,3
"19","Blastocystis hominis",0.252631579,0.833333333,"NT",3,0,957,"Heterokontophyta","Blastocystida",1,0,5,12,1.25,5103832.1662,575.1025,2,23.9633333333333,243.196666666667,147.843333333333,1,23.708,2.24907208161938,0.000547110147331357,2.96924658607522e-05,0.0254981908020513,0.0169184581805982,0,1,1,2
"20","Blepharocorys jubata",0.16,1,"AT",1,0,0,"Ciliophora","Entodiniomorphida",NA,NA,1,0,1,5395317.894,967.25,1,18.23,216.38,60.61,1,0.47,3.51324406371774,0.000505206153951535,0,0.0313351260458943,3.40345570209259e-05,NA,NA,NA,NA
"21","Charonina hippopotami",0.125,0,"AT",1,0,0,"Ciliophora","Entodiniomorphida",NA,NA,2,0,2,1882099.289,696.54,2,35.86,233.56,91.23,1,4.86,4.09088584230537,0.00044577867243106,0,0.00921621354291009,0,NA,0,1,NA
"22","Chilomastix mesnili",0.24742268,0.625,"AT",10,0,42,"Metamonada","Retortamonadida",1,0,3.7,9.375,1.22222222222222,3255225.9547,782.796666666667,1.7,29.795,238.80125,134.425625,1,43.5407142857143,2.27056642667797,0.000591463075389221,0.00310266849199784,0.0271302286169416,0.014062476663154,0,1,1,2
"23","Cryptosporidium parvum",0.199626866,0.421052632,"PA",13,1,5648,"Apicomplexa","Eucoccidiorida",1,0,3.4375,4.70588235294118,1.23076923076923,14793423.1865688,430.716,1.5625,116.291428571429,95.3171428571429,71.2785714285714,1.05882352941176,14.109375,2.3109887257246,0.000718807678647381,0.00301346283777686,0.0680373411550127,0.0228360092897662,1,1,1,2
"24","Cycloposthium bipalmatum",0.096153846,0.5,"AT",1,0,2,"Ciliophora","Entodiniomorphida",NA,NA,2,0,1,6697308.45,1049.37,1,30.49,225.9,70.41,1,0.11,3.51324406371774,0.000516453113213652,0,0.0645134948003707,0.00122805424553488,NA,1,NA,NA
"25","Cycloposthium corrugatum",0.096153846,1,"AT",1,0,0,"Ciliophora","Entodiniomorphida",NA,NA,2,0,1,6697308.45,1049.37,1,30.49,225.9,70.41,1,0.11,3.51324406371774,0.000516453113213652,0,0.0645134948003707,0.00122805424553488,NA,1,NA,NA
"26","Cycloposthium dentiferum",0.096153846,0.5,"AT",1,0,1,"Ciliophora","Entodiniomorphida",NA,NA,2,0,1,6697308.45,1049.37,1,30.49,225.9,70.41,1,0.11,3.51324406371774,0.000516453113213652,0,0.0645134948003707,0.00122805424553488,NA,1,NA,NA
"27","Cycloposthium edentatum",0.096153846,1,"AT",1,0,5,"Ciliophora","Entodiniomorphida",NA,NA,2,0,1,6697308.45,1049.37,1,30.49,225.9,70.41,1,0.11,3.51324406371774,0.000516453113213652,0,0.0645134948003707,0.00122805424553488,NA,1,1,NA
"28","Cycloposthium scutigerum",0.063636364,0.5,"AT",2,0,1,"Ciliophora","Entodiniomorphida",NA,NA,2,0,1,3004843.97373333,660.623333333333,1,32.405,223.705,73.065,1,3.555,3.15287751586512,0.000540851758709695,2.84292882238637e-05,0.0513035887221995,0.00193840853198081,NA,1,NA,NA
"29","Cyclospora cayetanensis",0.454545455,1,"IM",1,0,NA,"Apicomplexa","Eucoccidiorida",NA,NA,1,10,NA,7513074.329,385.5,1,241.88,168.8,117.36,1,11.1,2.00791075450134,0.0004468126670729,0,0.0230405338572752,0.000672885049358672,NA,NA,NA,NA
"30","Cyclospora cercopitheci",0.473684211,1,"AT",1,0,2,"Apicomplexa","Eucoccidiorida",1,0,NA,20,NA,1146145.938,NA,NA,54.72,216.52,70.92,1,NA,2.16698061683313,0.000454749029455442,0,0.0239621552115663,0.0071524288645439,1,0,1,2
"31","Cyclospora colobi",0.4,1,"AT",1,0,3,"Apicomplexa","Eucoccidiorida",1,0,2,0,1,3050444.516,486.66,1,40.2,231.64,108.92,1,99.2,1.97894932975839,0.000427538644143869,0,0.0156675630229472,0.000746387202778176,1,0,1,2
"32","Cyclospora papionis",0.357142857,1,"AT",2,0,7,"Apicomplexa","Eucoccidiorida",1,0,NA,10,NA,4134203.8574,588.105,NA,44.325,252.945,134.175,1,10.935,2.26473516247121,0.000506412481033681,3.52874741774196e-07,0.0345608007859129,0.00366849885180389,1,0,1,2
"33","Cystoisospora belli",0.625,1,"AT",1,0,290,"Apicomplexa","Eucoccidiorida",NA,NA,1,0,1,69785.6158,NA,1,16.08,248.21,50.35,1,2.27,2.79251096801251,0.000495183662028439,0,0.00829459218861909,0.000222228260915141,NA,NA,NA,NA
"34","Cystoisospora canis",0.291970803,1,NA,2,0,89,"Apicomplexa","Eucoccidiorida",0,0,1,6,1,40919979.77,365,3,46.855,46.25,49.805,1,0.675,1.43531361624059,0.000556815184759151,2.2374304279161e-06,0.107368887774902,0.0500740538919907,1,1,1,1
"35","Cystoisospora felis",0.276041667,0.444444444,"PA",4,0,29,"Apicomplexa","Eucoccidiorida",0,0,1.625,4,1,19075584.660675,360.107142857143,2.875,46.38875,132.42875,54.765,1,0.588571428571429,2.06130795677026,0.000582755752089517,3.54945700101728e-05,0.0527628225331602,0.015403059271887,1,1,1,1
"36","Cystoisospora ohioensis",0.287671233,1,NA,1,0,18,"Apicomplexa","Eucoccidiorida",0,0,1,11,1,17097659.69,365,3,27.27,58.18,53.03,1,0.25,1.3826716934761,0.000523255709541545,0,0.0792594364690268,0.00239040093922541,1,1,1,1
"37","Cytauxzoon felis",0.2875,0.3,NA,5,0,102,"Apicomplexa","Piroplasmida",0,1,1,0,1,10522640.2848,471.455,3,30.3666666666667,141.31,70.4433333333333,1,0.146666666666667,2.44546448474482,0.00053776791504105,6.09285582525828e-07,0.0506891744860055,0.0119325845833879,1,1,1,2
"38","Cytauxzoon manul",0,0,"PA",1,0,11,"Apicomplexa","Piroplasmida",0,1,1,NA,1,3356628.392,NA,3,21.03,7.27,29.96,NA,NA,2.29547669802195,0.000359757574332741,0,0.00184324270858202,0,1,0,1,2
"39","Dientamoeba fragilis",0.338709677,0.666666667,"AT",3,0,231,"Metamonada","Trichomonadida",1,0,3.25,5,1,3452643.0336,831.164,1.75,34.0966666666667,239.736666666667,108.34,1,81.2466666666667,2.25469072356763,0.00051729663515831,2.90666059635884e-06,0.0213508947077417,0.00163833572323356,0,1,1,2
"40","Diplodinium anacanthum",0.096153846,0.5,"AT",1,0,0,"Ciliophora","Entodiniomorphida",NA,NA,2,0,1,6697308.45,1049.37,1,30.49,225.9,70.41,1,0.11,3.51324406371774,0.000516453113213652,0,0.0645134948003707,0.00122805424553488,0,1,1,NA
"41","Diplodinium dentatum",0.096153846,1,"AT",1,0,5,"Ciliophora","Entodiniomorphida",NA,NA,2,0,1,6697308.45,1049.37,1,30.49,225.9,70.41,1,0.11,3.51324406371774,0.000516453113213652,0,0.0645134948003707,0.00122805424553488,0,1,1,NA
"42","Diploplastron affine",0.096153846,0.5,"AT",1,0,35,"Ciliophora","Entodiniomorphida",NA,NA,2,0,1,6697308.45,1049.37,1,30.49,225.9,70.41,1,0.11,3.51324406371774,0.000516453113213652,0,0.0645134948003707,0.00122805424553488,NA,1,1,NA
"43","Eimeria auburnensis",0.303030303,1,NA,1,0,37,"Apicomplexa","Eucoccidiorida",0,0,2,0,2,9582710.449,399,1,0.7,-5.35,33.59,1,0.28,2.21975014398966,0.000505115452667163,0,0.0322567474001853,0.000388930680965736,1,1,1,1
"44","Eimeria bovis",0.303030303,0.5,NA,1,0,243,"Apicomplexa","Eucoccidiorida",0,0,2,0,2,9582710.449,399,1,0.7,-5.35,33.59,1,0.28,2.21975014398966,0.000505115452667163,0,0.0322567474001853,0.000388930680965736,1,1,1,1
"45","Eimeria crispus",0.3125,1,"PA",1,0,3,"Apicomplexa","Eucoccidiorida",NA,NA,2,0,NA,139673.4316,547.5,1,346.2,93.81,144.41,3,1.98,2.02013187254421,0.000494866207533137,0,0.0211972911486932,0.00159403947940813,1,0,1,NA
"46","Eimeria felina",0.413793103,1,"PA",1,0,0,"Apicomplexa","Eucoccidiorida",0,0,3.5,10,1,21938979.9,165.375,2.5,41.59,210.885,50.235,1,1.12,2.22636275268852,0.000498721012118943,2.43962784436481e-07,0.0253445872430028,0.0037355639876406,1,1,1,1
"47","Eimeria furonis",0.25,0,NA,1,0,5,"Apicomplexa","Eucoccidiorida",0,0,1,0,1,1595.0177,365,3,NA,NA,NA,1,2,1.92761567717196,0.000448626692760338,0,0.00460810677145505,4.16324856525087e-07,1,0,1,1
"48","Eimeria hreindyria",0.151515152,1,"PA",1,0,0,"Apicomplexa","Eucoccidiorida",NA,NA,3,0,NA,18168072.93,365,1,1.07,-90.47,29.21,1,2.55,2.5768435007199,0.000499310570467361,0,0.0368648541716404,2.62284659610805e-05,1,0,1,NA
"49","Eimeria ictidea",0.25,0,NA,1,0,1,"Apicomplexa","Eucoccidiorida",0,0,1,0,1,1595.0177,365,3,NA,NA,NA,1,2,1.92761567717196,0.000448626692760338,0,0.00460810677145505,4.16324856525087e-07,1,0,1,1
"50","Eimeria kamoshika",0.3125,0.5,"PA",2,0,2,"Apicomplexa","Eucoccidiorida",NA,NA,2,0,NA,77043.0038,547.5,1,470.985,121.335,154.845,2.5,1.98,2.02013187254421,0.000494866207533137,0,0.0110594562514921,0.000797019739704065,1,0,1,NA
"51","Eimeria macusaniensis",0.333333333,0,"NT",1,0,34,"Apicomplexa","Eucoccidiorida",0,0,2,NA,1,1658675.842,NA,1,NA,NA,NA,NA,0.45,3.78478036643099,0.000369680294843028,0,0.00368648541716404,0,1,0,1,1
"52","Eimeria madisonensis",0.123076923,1,NA,1,0,0,"Apicomplexa","Eucoccidiorida",0,0,4,0,1,14410477.61,304.16,1,34.11,127.64,80.45,1,17.32,NA,0.000530874617428785,0,0.0847891645947729,0.00694997549363207,1,NA,1,1
"53","Eimeria mayeri",0.151515152,0.333333333,"PA",1,0,2,"Apicomplexa","Eucoccidiorida",NA,NA,3,0,NA,18168072.93,365,1,1.07,-90.47,29.21,1,2.55,2.5768435007199,0.000499310570467361,0,0.0368648541716404,2.62284659610805e-05,1,0,1,NA
"54","Eimeria mccordocki",0.123076923,1,NA,1,0,2,"Apicomplexa","Eucoccidiorida",0,0,4,0,1,14410477.61,304.16,1,34.11,127.64,80.45,1,17.32,NA,0.000530874617428785,0,0.0847891645947729,0.00694997549363207,1,NA,1,1
"55","Eimeria melis",0.235294118,0.041666667,"PA",1,0,2,"Apicomplexa","Eucoccidiorida",0,0,1,20,1,9763858.967,365,3,NA,NA,NA,1,2.52,3.28760578632801,0.000504208439823444,0,0.0433162036516774,0.00011896374638878,1,NA,1,1
"56","Eimeria mephitidis",0.142857143,0,NA,1,0,0,"Apicomplexa","Eucoccidiorida",0,0,6,30,1,2979663.406,243.33,2,32.08,134.16,72.47,1,4.7,2.51579145366571,0.00039670020745742,0,0.00737297083432808,0,1,NA,1,1
"57","Eimeria nuttalli",0.217391304,0.333333333,NA,2,0,1,"Apicomplexa","Eucoccidiorida",0,0,4.5,29.5,1.5,5842335.63715,365,2,53.2,183.92,93.125,2,3.29,2.37333404780104,0.000557903600171614,0,0.078337815114736,0.0233381680192729,1,NA,1,1
"58","Eimeria odocoilei",0.123076923,1,NA,1,0,5,"Apicomplexa","Eucoccidiorida",0,0,4,0,1,14410477.61,304.16,1,34.11,127.64,80.45,1,17.32,NA,0.000530874617428785,0,0.0847891645947729,0.00694997549363207,1,NA,1,1
"59","Eimeria pachylepyron",0,0,"IM",1,0,2,"Apicomplexa","Eucoccidiorida",0,0,6,40,1,1444761.112,365,2,149.98,248.73,237.29,1,20,3.7274998168141,0.000294715683309645,0,0.00552972812574606,0,1,NA,1,1
"60","Eimeria rangiferis",0.151515152,0.5,"PA",1,0,1,"Apicomplexa","Eucoccidiorida",NA,NA,3,0,NA,18168072.93,365,1,1.07,-90.47,29.21,1,2.55,2.5768435007199,0.000499310570467361,0,0.0368648541716404,2.62284659610805e-05,1,0,1,NA
"61","Eimeria serowi",0.3125,1,"PA",1,0,0,"Apicomplexa","Eucoccidiorida",NA,NA,2,0,NA,139673.4316,547.5,1,346.2,93.81,144.41,3,1.98,2.02013187254421,0.000494866207533137,0,0.0211972911486932,0.00159403947940813,1,0,1,NA
"62","Eimeria vulpis",0.545454545,1,"PA",1,0,6,"Apicomplexa","Eucoccidiorida",0,0,6,30,1,13701475.16,365,2,50.25,232.14,80.56,1,NA,3.09392550870737,0.000486839143866223,0,0.0175108057315292,2.08162428262544e-07,1,NA,1,1
"63","Eimeria zuernii",0.303030303,1,NA,1,0,92,"Apicomplexa","Eucoccidiorida",0,0,2,0,2,9582710.449,399,1,0.7,-5.35,33.59,1,0.28,2.21975014398966,0.000505115452667163,0,0.0322567474001853,0.000388930680965736,1,1,1,1
"64","Elyplastron bubali",0.096153846,0.5,"AT",1,0,0,"Ciliophora","Entodiniomorphida",NA,NA,2,0,1,6697308.45,1049.37,1,30.49,225.9,70.41,1,0.11,3.51324406371774,0.000516453113213652,0,0.0645134948003707,0.00122805424553488,NA,NA,1,NA
"65","Endolimax nana",0.303030303,0.608695652,"AT",11,0,121,"Amoebozoa","Mastigamoebida",1,0,3.8,8.33333333333333,1.57142857142857,3400996.4641,841.654545454545,1.7,34.5371428571429,233.308571428571,116.456428571429,1,46.6416666666667,2.26535811744043,0.0005795812071365,0.000793065172668225,0.0275828105319952,0.0100650697001573,0,0,1,2
"66","Entamoeba chattoni",0.343137255,0.5,"AT",5,1,13,"Sarcomastigophora","Amoebida",1,0,3.33333333333333,13.3333333333333,2,3375943.84333333,1125.41333333333,1.33333333333333,33.2275,220.93,87.36,1,3.42,2.37232796507582,0.000556633782190407,4.20475403585012e-06,0.0435466089902502,0.0315584414508845,0,NA,1,2
"67","Entamoeba coli",0.26635514,0.234782609,"AT",22,1,804,"Sarcomastigophora","Amoebida",1,0,3.05882352941176,7.40740740740741,1.45454545454545,1965584.26697619,887.637333333333,1.52941176470588,61.8628571428571,234.823571428571,117.244285714286,1.14814814814815,48.1328571428571,2.30642470300881,0.000602165826945106,0.0152011937334004,0.0216251867774712,0.00568261574998285,0,NA,1,2
"68","Entamoeba dispar",0.409090909,1,"PA",2,0,791,"Sarcomastigophora","Amoebida",1,0,5,5,1.5,156593.6596,486.66,2,177.945,185.02,104.385,2,108.315,2.02124830289761,0.000460472280499309,1.37229066245521e-07,0.0147459416686561,0.000764506255283945,0,NA,1,2
"69","Entamoeba hartmanni",0.318965517,0.472222222,"AT",11,1,42,"Sarcomastigophora","Amoebida",1,0,3.07692307692308,6.875,1.33333333333333,5696345.94414286,878.899230769231,1.69230769230769,53.3017647058824,221.374117647059,105.837647058824,1.0625,41.6893333333333,2.27595201184556,0.000606700891163701,0.002316788573287,0.0300340135457188,0.00890820044473623,0,NA,1,2
"70","Entamoeba histolytica",0.275862069,0.239583333,"AT",21,0,0,"Sarcomastigophora","Amoebida",1,0,2.94117647058824,6.53846153846154,1.5,1645543.25842381,896.3575,1.47058823529412,91.3126923076923,234.146923076923,120.231923076923,1.19230769230769,54.702380952381,2.31033253701843,0.000596995853735907,0.00530845766564313,0.0217289957761688,0.00604912857698191,0,1,1,2
"71","Entamoeba polecki",0.368421053,1,"AT",1,1,44,"Sarcomastigophora","Amoebida",1,0,NA,10,NA,7826350.711,752.81,NA,39.42,242.67,98.24,1,10.8,2.26473516247121,0.000500879702686995,0,0.0488459317774235,0.00700652389863285,0,NA,1,2
"72","Entodinium bicornutum",0.092592593,0.666666667,"AT",1,0,1,"Ciliophora","Entodiniomorphida",NA,NA,1.5,0,1,6046313.172,1008.31,1,24.36,221.14,65.51,1,0.29,3.51324406371774,0.000519355554313553,2.74458132491042e-07,0.0479243104231325,0.000631044401277903,0,1,1,NA
"73","Entodinium bursa",0.096153846,0.5,"AT",1,0,9,"Ciliophora","Entodiniomorphida",NA,NA,2,0,1,6697308.45,1049.37,1,30.49,225.9,70.41,1,0.11,3.51324406371774,0.000516453113213652,0,0.0645134948003707,0.00122805424553488,0,1,1,NA
"74","Entodinium caudatum",0.092592593,0.666666667,"AT",1,0,113,"Ciliophora","Entodiniomorphida",NA,NA,1.5,0,1,6046313.172,1008.31,1,24.36,221.14,65.51,1,0.29,3.51324406371774,0.000519355554313553,2.74458132491042e-07,0.0479243104231325,0.000631044401277903,0,1,1,NA
