protname,site_system,muscular,skeletal,circulatory,respiratory,digestive,immune,urinary,nervous,endocrine,reproductive,lymphatic,integumentary,ocular,multi,numsys
Babesia bicornis,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia bigemina,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia bovis,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia cellii,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia cynicti,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia divergens,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia equi,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia lotori,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia microti,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia missirolii,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia odocoilei,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia ovis,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia pitheci,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia propitheci,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia rossi,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Balantidium aragaoi,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Balantidium coli,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Besnoitia tarandi,"multi: muscular, respiratory, lymphatic, integumentary, urinary, nervous, ocular",1,0,0,1,0,0,1,1,0,0,1,1,1,1,7
Blastocystis hominis,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Blepharocorys jubata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charonina hippopotami,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Chilomastix mesnili,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Cryptosporidium parvum,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Cycloposthium bipalmatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cycloposthium corrugatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cycloposthium dentiferum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cycloposthium edentatum,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Cycloposthium scutigerum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyclospora cercopitheci,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Cyclospora colobi,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Cyclospora papionis,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Cystoisospora felis,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Cystoisospora ohioensis,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Cytauxzoon felis,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Cytauxzoon manul,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Dientamoeba fragilis,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Diplodinium anacanthum,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Diplodinium dentatum,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Diploplastron affine,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria auburnensis,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria bovis,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria crispus,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria felina,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria furonis,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria hreindyria,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria ictidea,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria kamoshika,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria macusaniensis,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria madisonensis,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria mayeri,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria mccordocki,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria melis,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria mephitidis,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria nuttalli,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria odocoilei,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria pachylepyron,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria rangiferis,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria serowi,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria vulpis,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria zuernii,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Elyplastron bubali,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Endolimax nana,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Entamoeba chattoni,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Entamoeba coli,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Entamoeba dispar,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Entamoeba hartmanni,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Entamoeba histolytica,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Entamoeba polecki,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Entodinium bicornutum,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Entodinium bursa,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Entodinium caudatum,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Entodinium dubardi,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Entodinium furca,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Entodinium minimum,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Entopolypoides macaci,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epidinium bulbiferum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epidinium caudatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epidinium gigas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eudiplodinium maggi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Giardia intestinalis,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Hepatocystis cercopitheci,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatocystis foleyi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatocystis kochi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatocystis semnopitheci,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatocystis simiae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatocystis taiwanensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatozoon americanum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatozoon canis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatozoon JM-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatozoon JM-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatozoon JM-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatozoon JM-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatozoon JM-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatozoon JM-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatozoon JM-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatozoon JM-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatozoon procyonis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iodamoeba butschlii,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Isospora arctopitheci,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Cystoisospora canis,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Isospora cebi,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Isospora endocallimici,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Isospora lutrae,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Isospora melis,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Isospora papionis,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Isospora saimirae,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Isospora sengeri,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Isospora spilogales,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Isospora vulpis,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Leishmania braziliensis,"multi: integumentary, digestive, lymphatic, immune",0,0,0,0,1,1,0,0,0,0,1,1,0,1,4
Leishmania chagasi,"multi: integumentary, digestive, lymphatic, immune",0,0,0,0,1,1,0,0,0,0,1,1,0,1,4
Leishmania donovani,"multi: integumentary, digestive, lymphatic, immune",0,0,0,0,1,1,0,0,0,0,1,1,0,1,4
Leishmania infantum,"multi: integumentary, digestive, lymphatic, immune",0,0,0,0,1,1,0,0,0,0,1,1,0,1,4
Leishmania shawi,"multi: integumentary, digestive, lymphatic, immune",0,0,0,0,1,1,0,0,0,0,1,1,0,1,4
Metadinium medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neospora caninum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ostracodinium gracile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ostracodinium mammosum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ostracodinium trivesiculatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paraisotricha minuta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paraplagiopyla kiboko,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parentodinium africanum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parentodinium ostrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pentatrichomonas hominis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plasmodium brasilianum,"multi: circulatory, digestive, nervous",0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium coatneyi,"multi: circulatory, digestive, nervous",0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium cynomolgi,"multi: circulatory, digestive, nervous",0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium eylesi,"multi: circulatory, digestive, nervous",0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium falciparum,"multi: circulatory, digestive, nervous",0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium fieldi,"multi: circulatory, digestive, nervous",0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium fragile,"multi: circulatory, digestive, nervous",0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium gaboni,"multi: circulatory, digestive, nervous",0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium georgesi,"multi: circulatory, digestive, nervous",0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium girardi,"multi: circulatory, digestive, nervous",0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium gonderi,"multi: circulatory, digestive, nervous",0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium hylobati,"multi: circulatory, digestive, nervous",0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium inui,"multi: circulatory, digestive, nervous",0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium jefferyi,"multi: circulatory, digestive, nervous",0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium knowlesi,"multi: circulatory, digestive, nervous",0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium petersi,"multi: circulatory, digestive, nervous",0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium pitheci,"multi: circulatory, digestive, nervous",0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium reichenowi,"multi: circulatory, digestive, nervous",0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium rodhaini,"multi: circulatory, digestive, nervous",0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium schwetzi,"multi: circulatory, digestive, nervous",0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium shortii,"multi: circulatory, digestive, nervous",0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium simiovale,"multi: circulatory, digestive, nervous",0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium simium,"multi: circulatory, digestive, nervous",0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium vivax,"multi: circulatory, digestive, nervous",0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium youngi,"multi: circulatory, digestive, nervous",0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Polyplastron multivesiculatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prototapirella gorillae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Retortamonas intestinalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis alces,"muscular, digestive",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis alceslatrans,"muscular, digestive",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis americana,"muscular, digestive",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis arctosi,"muscular, digestive",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis arieticanis,"muscular, digestive",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis axicuonis,"muscular, digestive",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis camelopardalis,"muscular, digestive",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis capracanis,"muscular, digestive",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis capreolicanis,"muscular, digestive",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis danzani,"muscular, digestive",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis dubeyella,"muscular, digestive",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis elegans,"muscular, digestive",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis felis,"muscular, digestive",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis fusiformis,"muscular, digestive",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis gazellae,"muscular, digestive",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis giraffae,"muscular, digestive",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis grueneri,"muscular, digestive",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis hardangeri,"muscular, digestive",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis hemioni,"muscular, digestive",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis hemionilatrantis,"muscular, digestive",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis hominis,"muscular, digestive",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis kirkpatricki,"muscular, digestive",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis klaseriensis,"muscular, digestive",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis melampi,"muscular, digestive",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis mephitisi,"muscular, digestive",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis mongolica,"muscular, digestive",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis neurona,"muscular, digestive",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis odocoileocanis,"muscular, digestive",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis ovalis,"muscular, digestive",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis phacochoeri,"muscular, digestive",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis rangi,"muscular, digestive",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis scandinavica,"muscular, digestive",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis sebeki,"muscular, digestive",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis tarandivulpes,"muscular, digestive",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis ursusi,"muscular, digestive",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis woodhousei,"muscular, digestive",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis youngi,"muscular, digestive",1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Spirodinium equi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tetratoxum parvum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tetratoxum unifasciculatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Theileria annae,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Theileria bicornis,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Theileria buffeli,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Theileria cervi,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Theileria mutans,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Theileria parva,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Toxoplasma gondii,"multi: nervous, digestive, muscular, immune, circulatory, respiratory, lymphatic, occular, reproductive, endocrine, urinary",1,0,1,1,1,1,1,1,1,1,1,0,0,1,10
Triadinium galea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichomonas intestinalis,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Troglocorys cava,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Troglodytella abrassarti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trypanosoma brucei,"multi: circulatory, muscular, digestive",1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma cervi,"multi: circulatory, muscular, digestive",1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma congolense,"multi: circulatory, muscular, digestive",1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma cruzi,"multi: circulatory, muscular, digestive",1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma cyclops,"multi: circulatory, muscular, digestive",1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma devei,"multi: circulatory, muscular, digestive",1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma diasi,"multi: circulatory, muscular, digestive",1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma evansi,"multi: circulatory, muscular, digestive",1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma hippicum,"multi: circulatory, muscular, digestive",1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma irangiense,"multi: circulatory, muscular, digestive",1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma lambrechti,"multi: circulatory, muscular, digestive",1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma lesourdi,"multi: circulatory, muscular, digestive",1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma minasense,"multi: circulatory, muscular, digestive",1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma mycetae,"multi: circulatory, muscular, digestive",1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma perodictici,"multi: circulatory, muscular, digestive",1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma pestanai,"multi: circulatory, muscular, digestive",1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma primatum,"multi: circulatory, muscular, digestive",1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma rangeli,"multi: circulatory, muscular, digestive",1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma sanmartini,"multi: circulatory, muscular, digestive",1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma simiae,"multi: circulatory, muscular, digestive",1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma theileri,"multi: circulatory, muscular, digestive",1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma venezuelense,"multi: circulatory, muscular, digestive",1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma vivax,"multi: circulatory, muscular, digestive",1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
