protname,type,intra_extra,dom_host,flagella,cyst,sexual,cattle,sheep,goat,dog,cat,pig,horse,chicken,numdomhosts,muscular,skeletal,circulatory,respiratory,digestive,immune,urinary,nervous,endocrine,reproductive,lymphatic,integumentary,ocular,multi,numsys
Metadinium medium,Ciliate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neospora caninum,Sporozoan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ostracodinium gracile,Ciliate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ostracodinium mammosum,Ciliate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ostracodinium trivesiculatum,Ciliate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paraisotricha minuta,Ciliate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paraplagiopyla kiboko,Ciliate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parentodinium africanum,Ciliate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parentodinium ostrea,Ciliate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pentatrichomonas hominis,Flagellate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plasmodium brasilianum,Sporozoan,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium coatneyi,Sporozoan,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium cynomolgi,Sporozoan,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium eylesi,Sporozoan,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium falciparum,Sporozoan,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium fieldi,Sporozoan,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium fragile,Sporozoan,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium gaboni,Sporozoan,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium georgesi,Sporozoan,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium girardi,Sporozoan,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium gonderi,Sporozoan,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium hylobati,Sporozoan,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium inui,Sporozoan,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium jefferyi,Sporozoan,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium knowlesi,Sporozoan,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium petersi,Sporozoan,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium pitheci,Sporozoan,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium reichenowi,Sporozoan,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium rodhaini,Sporozoan,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium schwetzi,Sporozoan,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium shortii,Sporozoan,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium simiovale,Sporozoan,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium simium,Sporozoan,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium vivax,Sporozoan,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Plasmodium youngi,Sporozoan,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,0,0,0,0,0,1,3
Polyplastron multivesiculatum,Ciliate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prototapirella gorillae,Ciliate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Retortamonas intestinalis,Flagellate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcocystis alces,Sporozoan,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis alceslatrans,Sporozoan,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis americana,Sporozoan,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis arctosi,Sporozoan,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis arieticanis,Sporozoan,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis axicuonis,Sporozoan,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis camelopardalis,Sporozoan,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis capracanis,Sporozoan,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis capreolicanis,Sporozoan,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis danzani,Sporozoan,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis dubeyella,Sporozoan,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis elegans,Sporozoan,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis felis,Sporozoan,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis fusiformis,Sporozoan,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis gazellae,Sporozoan,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis giraffae,Sporozoan,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis grueneri,Sporozoan,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis hardangeri,Sporozoan,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis hemioni,Sporozoan,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis hemionilatrantis,Sporozoan,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis hominis,Sporozoan,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis kirkpatricki,Sporozoan,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis klaseriensis,Sporozoan,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis melampi,Sporozoan,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis mephitisi,Sporozoan,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis mongolica,Sporozoan,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis neurona,Sporozoan,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis odocoileocanis,Sporozoan,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis ovalis,Sporozoan,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis phacochoeri,Sporozoan,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis rangi,Sporozoan,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis scandinavica,Sporozoan,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis sebeki,Sporozoan,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis tarandivulpes,Sporozoan,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis ursusi,Sporozoan,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis woodhousei,Sporozoan,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Sarcocystis youngi,Sporozoan,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Spirodinium equi,Ciliate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tetratoxum parvum,Ciliate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tetratoxum unifasciculatum,Ciliate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Theileria annae,Sporozoan,1,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Theileria bicornis,Sporozoan,1,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Theileria buffeli,Sporozoan,1,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Theileria cervi,Sporozoan,1,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Theileria mutans,Sporozoan,1,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Theileria parva,Sporozoan,1,1,0,0,1,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Toxoplasma gondii,Sporozoan,1,1,0,1,1,1,1,0,0,1,1,0,0,4,1,0,1,1,1,1,1,1,1,1,1,0,0,1,10
Triadinium galea,Ciliate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichomonas intestinalis,Flagellate,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Troglocorys cava,Ciliate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Troglodytella abrassarti,Ciliate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trypanosoma brimonti,Flagellate,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma brucei,Flagellate,0,1,1,0,1,1,0,0,0,1,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma cervi,Flagellate,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma congolense,Flagellate,0,1,1,0,0,1,0,0,0,1,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma cruzi,Flagellate,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma cyclops,Flagellate,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma devei,Flagellate,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma diasi,Flagellate,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma evansi,Flagellate,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma hippicum,Flagellate,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma irangiense,Flagellate,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma lambrechti,Flagellate,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma lesourdi,Flagellate,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma minasense,Flagellate,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma mycetae,Flagellate,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma perodictici,Flagellate,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma pestanai,Flagellate,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma primatum,Flagellate,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma rangeli,Flagellate,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma sanmartini,Flagellate,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma simiae,Flagellate,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma theileri,Flagellate,0,1,1,0,0,1,0,0,0,1,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma venezuelense,Flagellate,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
Trypanosoma vivax,Flagellate,0,1,1,0,0,1,0,0,0,1,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3
